room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude
Shared room,Amsterdam,De Pijp / Rivierenbuurt,7,4.5,2,1,156,Red Light/ Canal view apartment (Shared),52.356209,4.887491
Shared room,Amsterdam,Centrum West,45,4.5,4,1,126,Sunny and Cozy Living room in quite neighbours,52.378518,4.89612
Shared room,Amsterdam,Watergraafsmeer,1,0,3,1,132,Amsterdam,52.338811,4.943592
Shared room,Amsterdam,Centrum West,7,5,4,1,121,Canal boat RIDE in Amsterdam,52.376319,4.890028
Shared room,Amsterdam,De Baarsjes / Oud West,1,0,2,1,93,One room for rent in a three room appartment,52.370384,4.852873
Shared room,Amsterdam,De Pijp / Rivierenbuurt,184,4.5,2,1,102,Beautiful apartment,52.342265,4.897126
Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,67,5,16,1,462,"LOTUS, Classic Dutch Saling Barge ",52.377552,4.930418
Shared room,Amsterdam,Westerpark,2,0,2,1,414,big boot Adam 04,52.375205,4.866117
Shared room,Amsterdam,Oud Oost,2,0,2,1,222,Bright modern appartment in East!,52.357346,4.912887
Shared room,Amsterdam,Centrum West,0,0,12,1,301,"CANAL BOATTOUR AMSTERDAM covered boat 1,5 hour",52.38661,4.890128
Shared room,Amsterdam,De Pijp / Rivierenbuurt,26,5,4,1,246,Beautiful apartment!,52.342445,4.89695
Shared room,Amsterdam,Centrum Oost,10,4.5,4,1,198,APARTMENT IN CENTER OF AMSTERDAM,52.366271,4.896251
Shared room,Amsterdam,Centrum Oost,0,0,2,1,180,Luxury room in renovated 17th century house,52.36056,4.888896
Shared room,Amsterdam,De Baarsjes / Oud West,1,0,2,1,180,Apartment city center,52.358221,4.85681
Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4,4,1,48,sleeping schip Verandering R B&b 2,52.378351,4.94113
Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,2,0,1,1,42,Double super comfy sofa bed in A'dam Oost ;),52.365477,4.937313
Shared room,Amsterdam,Geuzenveld / Slotermeer,3,4,1,1,45,Single boxspr bed in a living room.,52.379516,4.800987
Shared room,Amsterdam,De Pijp / Rivierenbuurt,11,4,2,1,48,Simple sleeping place de Pijp,52.349974,4.89961
Shared room,Amsterdam,Buitenveldert / Zuidas,6,5,2,1,60,Comfortable double bedroom,52.3293,4.861808
Shared room,Amsterdam,Buitenveldert / Zuidas,6,4.5,2,1,48,Amsterdam-South Cheerful Shared Apartment,52.326259,4.857729
Shared room,Amsterdam,Oud Noord,73,4.5,4,1,48,Sleep ship Verandering,52.39063,4.940112
Shared room,Amsterdam,Westerpark,1,0,1,1,58,Room in the center of Amsterdam,52.382128,4.87798
Shared room,Amsterdam,De Baarsjes / Oud West,60,4.5,2,1,54,Chez Eric - Stay inspired close to vondelpark!,52.360034,4.863982
Shared room,Amsterdam,De Pijp / Rivierenbuurt,1,0,1,1,60,Appartement Amsterdam Rivierenbuurt,52.347614,4.900029
Shared room,Amsterdam,Bos en Lommer,9,5,1,1,54,WOMEN ONLY Cozy sofa + canal view in renovated apt,52.377693,4.850855
Shared room,Amsterdam,Slotervaart,2,0,4,1,18,Relax 9 hours!,52.365632,4.849366
Shared room,Amsterdam,Slotervaart,6,1.5,4,1,25,I'm Easy Guest - Just need to sleep,52.36353,4.839745
Shared room,Amsterdam,De Baarsjes / Oud West,1,0,4,1,34,Surprice for 9 hours,52.364374,4.850631
Shared room,Amsterdam,Geuzenveld / Slotermeer,4,5,2,1,36,Cheap Cosy Place West,52.377385,4.83054
Shared room,Amsterdam,Geuzenveld / Slotermeer,0,0,16,1,31,Train Lodge Amsterdam near station,52.390047,4.841272
Shared room,Amsterdam,Slotervaart,1,0,4,1,30,We love cheap for max 9 hours!,52.365576,4.838362
Shared room,Amsterdam,Bijlmer Centrum,12,4.5,2,1,30,Shared Container apartment,52.320525,4.955946
Shared room,Amsterdam,Bos en Lommer,30,4.5,2,1,30,sleep on my couch and rock Am'dam!!,52.375382,4.849186
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,19,5,8,4,763,Beautiful Watervilla in Amsterdam,52.348254,5.001477
Entire home/apt,Amsterdam,Westerpark,1,0,8,3,445,Modern 5-8 person apartment,52.377581,4.873119
Entire home/apt,Amsterdam,Centrum West,10,5,4,3,721,Prinsengracht Appartement,52.373078,4.884269
Entire home/apt,Amsterdam,Watergraafsmeer,1,0,8,3,1412,Whole house 200m2 Frankendael Park,52.350968,4.929821
Entire home/apt,Amsterdam,Centrum West,0,0,4,4,541,Great 4 bedroom apartment at the flower market,52.36789,4.889273
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0,4,2,594,MuseumSquare apartment with garden,52.355169,4.883219
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,23,4.5,4,4,661,Stuff of Dreams in Amsterdam Pijp,52.35494,4.902866
Entire home/apt,Amsterdam,De Aker / Nieuw Sloten,0,0,4,2,361,"Luxurous, modern, bright appartment",52.346007,4.81183
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,17,4.5,4,2,331,Beautiful apartment in Amsterdam,52.354111,4.902925
Entire home/apt,Amsterdam,Centrum Oost,15,5,6,4,409,Historic House in Center Amsterdam,52.368309,4.909591
Entire home/apt,Amsterdam,Noord West,0,0,5,2,210,True Tranquil Boho House - 15min from AMS CS,52.414253,4.883661
Entire home/apt,Amsterdam,Centrum Oost,0,0,4,2,270,2-floor apartment in the centre with canal view!,52.364897,4.895932
Entire home/apt,Amsterdam,Centrum West,25,4.5,3,1,186,JORDAAN - cozy 2 room apartment,52.374855,4.87805
Entire home/apt,Amsterdam,Bijlmer Centrum,8,4.5,3,0,156,"Private studio, 20 minutes away from city center",52.319091,4.953274
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,2,0,4,4,179,GORGEOUS family house with sunny garden!,52.346421,5.008598
Entire home/apt,Amsterdam,Bijlmer Oost,0,0,4,3,174,3 bedroom apartment and free parking in the area,52.317621,4.973309
Entire home/apt,Amsterdam,Oud Oost,0,0,4,2,132,"Lovely apartment with garden, close to the centre",52.355498,4.910895
Entire home/apt,Amsterdam,Bijlmer Centrum,17,4.5,4,2,108,Nice & spacious apartment,52.317343,4.944083
Entire home/apt,Amsterdam,Centrum Oost,21,4,4,2,541,Two Floor City Centre Canal House,52.364932,4.885259
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,11,5,6,4,594,Gorgeous House near Vondelpark area,52.354616,4.852802
Entire home/apt,Amsterdam,Centrum Oost,1,0,6,3,541,Spacious and bright with character,52.367687,4.906021
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,13,4.5,6,4,599,Big family house next to Vondelpark/Museum Quarter,52.355029,4.869549
Entire home/apt,Amsterdam,Westerpark,62,5,16,10,528,Sailing Ship Amsterdam Centre (1),52.393368,4.883009
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0,6,3,541,Lovely classic modern stylish appartement,52.356753,4.899027
Entire home/apt,Amsterdam,Centrum West,21,5,4,3,541,Most amazing apartment - huge rooftop - canalview,52.373196,4.886924
Entire home/apt,Amsterdam,Watergraafsmeer,0,0,4,3,600,Historical spacious familiy house,52.352421,4.935901
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,23,5,12,0,648,"""Staying at a traditional sailing barge",52.354653,5.006721
Entire home/apt,Amsterdam,Buitenveldert / Zuidas,0,0,4,5,541,"Luxurious Urban Villa, 5+ bedrooms @Chique Zuid!",52.341404,4.872074
Entire home/apt,Amsterdam,Centrum Oost,16,4.5,10,4,587,Home Sweet Home,52.360003,4.893197
Entire home/apt,Amsterdam,Oud Noord,0,0,4,3,600,Architect-designed House in city center,52.383919,4.906942
Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0,8,5,661,"Luxurious double 4 storey Vondelpark apartments,",52.360744,4.865113
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0,2,1,361,Super charmant en licht 3-kamerapp.+28m2 terras,52.352215,4.903658
Entire home/apt,Amsterdam,De Baarsjes / Oud West,6,4.5,4,2,384,Newly Renovated Loft @ Vondelpark!,52.3576,4.855806
Entire home/apt,Amsterdam,Watergraafsmeer,18,4,7,3,361,Brandnew Penthouse on the Amstel,52.340383,4.918922
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,7,4.5,14,3,420,Captainshouseboat nearby city centre.,52.35254,5.006862
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0,6,3,331,Family house charming neighbourhood,52.345325,4.870657
Entire home/apt,Amsterdam,Noord West,3,4.5,6,4,361,Industrial loft in Amsterdam North,52.41133,4.904646
Entire home/apt,Amsterdam,De Baarsjes / Oud West,7,4.5,4,2,209,Spacious townhouse near Leidseplein,52.362932,4.876982
Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0,2,1,239,"Peaceful, Spacious & Bright Near Museum",52.35331,4.878187
Entire home/apt,Amsterdam,Watergraafsmeer,2,0,5,3,301,Sunny 3-bedroom family apartment,52.355068,4.938986
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,1,0,4,4,216,Single villa on island in Amsterdam,52.359406,4.982554
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0,8,5,222,Amsterdam island Mansion + jacuzzi,52.354857,4.999131
Entire home/apt,Amsterdam,Osdorp,0,0,4,2,240,Modern house with two gardens and a carport,52.355875,4.80547
Entire home/apt,Amsterdam,Noord Oost,0,0,6,4,252,Waterfront Villa 10 min from Central station,52.406053,4.933851
Entire home/apt,Amsterdam,Noord Oost,0,0,5,4,240,Eengezinswoning,52.406822,4.932623
Entire home/apt,Amsterdam,Centrum Oost,0,0,4,2,288,Modern design styled boat with 360 degrees vieuw,52.366318,4.897947
Entire home/apt,Amsterdam,Centrum Oost,17,5,2,1,186,Stay at the canal side!Centre A'dam,52.365515,4.885978
Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0,3,2,203,Great appartment,52.344126,4.904813
Entire home/apt,Amsterdam,Oud Oost,4,5,4,2,193,New & central 2BR-apartment incl private parking,52.355795,4.9144
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,11,4.5,4,2,201,Modern family house on  city island,52.352971,5.005403
Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,10,5,4,4,193,Spacious house Amsterdam + 2x FREE parking,52.354023,5.003133
Entire home/apt,Amsterdam,Slotervaart,1,0,6,3,193,Amsterdam 3 bedrooms appartement,52.363586,4.836393
Entire home/apt,Amsterdam,Oud Oost,0,0,4,2,204,Great apartment with balcony nearby centre & park,52.356592,4.921396
Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0,2,1,193,Romantic studio in Amsterdam,52.368764,4.870893
Entire home/apt,Amsterdam,Oud Noord,2,0,6,4,203,Ex barbershop in booming and green Amsterdam North,52.391342,4.940419
Entire home/apt,Amsterdam,Bos en Lommer,0,0,2,1,191,Lovely bright Amsterdam Apartment with garden!,52.377804,4.851015
Entire home/apt,Amsterdam,Slotervaart,1,0,2,1,150,Spacious apartment with gorgeous view of Amsterdam,52.34953,4.835548
